
 hhqi                  'Household questionnaire number'                                                  
 w1_h_h4_5_7           'h4_5_7 - Amount of units of Sugar Cane sold in last 12 months'                   
 w1_h_h4_6_7           'h4_6_7 - Total amount of money received from selling Sugar Cane in last 12 month'
 w1_h_h4_7_7           'h4_7_7 - Amount of units of Sugar Cane given away in last 12 months'             
 w1_h_h4_8_7           'h4_8_7 - No. of units Sugar Cane retained own consumption in last 12 months'     
 w1_h_h4_2_8           'h4_2_8 - Tea were grown in the last 12 months'                                   
 w1_h_h4_3_8           'h4_3_8 - Unit in which Tea were measured'                                        
 w1_h_h4_4_8           'h4_4_8 - Amount of units of Tea harvested in  last 12 months'                    
 w1_h_h4_5_8           'h4_5_8 - Amount of units of Tea sold in last 12 months'                          
 w1_h_h4_6_8           'h4_6_8 - Total amount of money received from selling Tea in last 12 months'      
 w1_h_h4_7_8           'h4_7_8 - Amount of units of Tea given away in last 12 months'                    
 w1_h_h4_8_8           'h4_8_8 - Amount of units of Tea retained for own consumption in last 12 months'  
 w1_h_h4_2_9           'h4_2_9 - Timber were grown in the last 12 months'                                
 w1_h_h4_3_9           'h4_3_9 - Unit in which Timber were measured'                                     
 w1_h_h4_4_9           'h4_4_9 - Amount of units of Timber harvested in  last 12 months'                 
 w1_h_h4_5_9           'h4_5_9 - Amount of units of Timber sold in last 12 months'                       
 w1_h_h4_6_9           'h4_6_9 - Total amount of money received from selling Timber in last 12 months'   
 w1_h_h4_7_9           'h4_7_9 - Amount of units of Timber given away in last 12 months'                 
 w1_h_h4_8_9           'h4_8_10 - No. units Other field crops retained own consumption last 12 months'   
 w1_h_h4_2_10          'h4_2_10 - Other field crops were grown in the last 12 months'                    
 w1_h_h4_3_10          'h4_3_10 - Unit in which Other field crops were measured'                         
 w1_h_h4_4_10          'h4_4_10 - Amount of units of Other field crops harvested in  last 12 months'     
 w1_h_h4_5_10          'h4_5_10 - Amount of units of Other field crops sold in last 12 months'           
 w1_h_h4_6_10          'h4_6_10 - Total money received from selling Other field crops in last 12 months' 
 w1_h_h4_7_10          'h4_7_10 - Amount of units of Other field crops given away in last 12 months'     
 w1_h_h4_8_10          'h4_8_11 - No. units Decidous fruit retained for own consumption in last 12 month'
 w1_h_h4_2_11          'h4_2_11 - Decidous fruit were grown in the last 12 months'                       
 w1_h_h4_3_11          'h4_3_11 - Unit in which Decidous fruit were measured'                            
 w1_h_h4_4_11          'h4_4_11 - Amount of units of Decidous fruit harvested in  last 12 months'        
 w1_h_h4_5_11          'h4_5_11 - Amount of units of Decidous fruit sold in last 12 months'              
 w1_h_h4_6_11          'h4_6_11 - Total money received from selling Decidous fruit last 12 months'       
 w1_h_h4_7_11          'h4_7_11 - Amount of units of Decidous fruit given away in last 12 months'        
 w1_h_h4_8_11          'h4_8_12 - No. units Citrus fruit retained for own consumption in last 12 months' 
 w1_h_h4_2_12          'h4_2_12 - Citrus fruit were grown in the last 12 months'                         
 w1_h_h4_3_12          'h4_3_12 - Unit in which Citrus fruit were measured'                              
 w1_h_h4_4_12          'h4_4_12 - Amount of units of Citrus fruit harvested in  last 12 months'          
 w1_h_h4_5_12          'h4_5_12 - Amount of units of Citrus fruit sold in last 12 months'                
 w1_h_h4_6_12          'h4_6_12 - Total money received from selling Citrus fruit in last 12 month'       
 w1_h_h4_7_12          'h4_7_12 - Amount of units of Citrus fruit given away in last 12 months'          
 w1_h_h4_8_12          'h4_8_12 - No. units Citrus fruit retained for own consumption in last 12 months' 
 w1_h_h4_2_13          'h4_2_13 - Subtropical fruit were grown in the last 12 months'                    
 w1_h_h4_3_13          'h4_3_13 - Unit in which Subtropical fruit were measured'                         
 w1_h_h4_4_13          'h4_4_13 - Amount of units of Subtropical fruit harvested in  last 12 months'     
 w1_h_h4_5_13          'h4_5_13 - Amount of units of Subtropical fruit sold in last 12 months'           
 w1_h_h4_6_13          'h4_6_13 - Total money received from selling Subtropical fruit in last 12 months' 
 w1_h_h4_7_13          'h4_7_13 - Amount of units of Subtropical fruit given away in last 12 months'     
 w1_h_h4_8_13          'h4_8_13 - No. units of Subtropical fruit retained own consumption last 12 months'
 w1_h_h4_2_14          'h4_2_14 - Other fruit were grown in the last 12 months'                          
 w1_h_h4_3_14          'h4_3_14 - Unit in which Other fruit were measured'                               
 w1_h_h4_4_14          'h4_4_14 - Amount of units of Other fruit harvested in  last 12 months'           
 w1_h_h4_5_14          'h4_5_14 - Amount of units of Other fruit sold in last 12 months'                 
 w1_h_h4_6_14          'h4_6_14 - Total money received from selling Other fruit in last 12 months'       
 w1_h_h4_7_14          'h4_7_14 - Amount of units of Other fruit given away in last 12 months'           
 w1_h_h4_8_14          'h4_8_14 - No. units Other fruit retained for own consumption in last 12 months'  
 w1_h_h4_2_15          'h4_2_15 - Tomato were grown in the last 12 months'                               
 w1_h_h4_3_15          'h4_3_15 - Unit in which Tomato were measured'                                    
 w1_h_h4_4_15          'h4_4_15 - Amount of units of Tomato harvested in  last 12 months'                
 w1_h_h4_5_15          'h4_5_15 - Amount of units of Tomato sold in last 12 months'                      
 w1_h_h4_6_15          'h4_6_15 - Total amount of money received from selling Tomato in last 12 months'  
 w1_h_h4_7_15          'h4_7_15 - Amount of units of Tomato given away in last 12 months'                
 w1_h_h4_8_15          'h4_8_15 - No. of units of Tomato retained for own consumption in last 12 months' 
 w1_h_h4_2_16          'h4_2_16 - Spinach were grown in the last 12 months'                              
 w1_h_h4_3_16          'h4_3_16 - Unit in which Spinach were measured'                                   
 w1_h_h4_4_16          'h4_4_16 - Amount of units of Spinach harvested in  last 12 months'               
 w1_h_h4_5_16          'h4_5_16 - Amount of units of Spinach sold in last 12 months'                     
 w1_h_h4_6_16          'h4_6_16 - Total amount of money received from selling Spinach in last 12 months' 
 w1_h_h4_7_16          'h4_7_16 - Amount of units of Spinach given away in last 12 months'               
 w1_h_h4_8_16          'h4_8_16 - No. of units of Spinach retained for own consumption in last 12 months'
 w1_h_h4_2_17          'h4_2_17 - Wild Spinach were grown in the last 12 months'                         
 w1_h_h4_3_17          'h4_3_17 - Unit in which Wild Spinach were measured'                              
 w1_h_h4_4_17          'h4_4_17 - Amount of units of Wild Spinach harvested in  last 12 months'          
 w1_h_h4_5_17          'h4_5_17 - Amount of units of Wild Spinach sold in last 12 months'                
 w1_h_h4_6_17          'h4_6_17 - Total money received from selling Wild Spinach in last 12 months'      
 w1_h_h4_7_17          'h4_7_17 - Amount of units of Wild Spinach given away in last 12 months'          
 w1_h_h4_8_17          'h4_8_17 - No. units Wild Spinach retained for own consumption in last 12 months' 
 w1_h_h4_2_18          'h4_2_18 - Cabbages were grown in the last 12 months'                             
 w1_h_h4_3_18          'h4_3_18 - Unit in which Cabbages were measured'                                  
 w1_h_h4_4_18          'h4_4_18 - Amount of units of Cabbages harvested in  last 12 months'              
 w1_h_h4_5_18          'h4_5_18 - Amount of units of Cabbages sold in last 12 months'                    
 w1_h_h4_6_18          'h4_6_18 - Total money received from selling Cabbages in last 12 monthss'         
 w1_h_h4_7_18          'h4_7_18 - Amount of units of Cabbages given away in last 12 months'              
 w1_h_h4_8_18          'h4_8_18 - No. units of Cabbages retained for own consumption in last 12 months'  
 w1_h_h4_2_19          'h4_2_19 - Potatoes or Sweet Potatoes were grown in the last 12 months'           
 w1_h_h4_3_19          'h4_3_19 - Unit in which Potatoes or Sweet Potatoes were measured'                
 w1_h_h4_4_19          'h4_4_19 - No. of units of Potatoes or Sweet Potatoes harvested in last 12 months'
 w1_h_h4_5_19          'h4_5_19 - Amount of units of Potatoes or Sweet Potatoes sold in last 12 months'  
 w1_h_h4_6_19          'h4_6_19 - Total money received from selling Potatoes or Sweet Potatoes'          
 w1_h_h4_7_19          'h4_7_19 - No. units of Potatoes or Sweet Potatoes given away in last 12 months'  
 w1_h_h4_8_19          'h4_8_19 - No. units Potatoes/Sweet Potatoes retained consumption last 12 months' 
 w1_h_h4_2_20          'h4_2_20 - Pumpkin were grown in the last 12 months'                              
 w1_h_h4_3_20          'h4_3_20 - Unit in which Pumpkin were measured'                                   
 w1_h_h4_4_20          'h4_4_20 - Amount of units of Pumpkin harvested in  last 12 months'               
 w1_h_h4_5_20          'h4_5_20 - Amount of units of Pumpkin sold in last 12 months'                     
 w1_h_h4_6_20          'h4_6_20 - Total amount of money received from selling Pumpkin in last 12 months' 
 w1_h_h4_7_20          'h4_7_20 - Amount of units of Pumpkin given away in last 12 months'               
 w1_h_h4_8_20          'h4_8_20 - No. of units of Pumpkin retained for own consumption in last 12 months'
 w1_h_h4_2_21          'h4_2_21 - Carrots were grown in the last 12 months'                              
 w1_h_h4_3_21          'h4_3_21 - Unit in which Carrots were measured'                                   
 w1_h_h4_4_21          'h4_4_21 - Amount of units of Carrots harvested in  last 12 months'               
 w1_h_h4_5_21          'h4_5_21 - Amount of units of Carrots sold in last 12 months'                     
 w1_h_h4_6_21          'h4_6_21 - Total amount of money received from selling Carrots in last 12 months' 
 w1_h_h4_7_21          'h4_7_21 - Amount of units of Carrots given away in last 12 months'               
 w1_h_h4_8_21          'h4_8_21 - No. of units of Carrots retained for own consumption in last 12 months'
 w1_h_h4_2_22          'h4_2_22 - Tubers were grown in the last 12 months'                               
 w1_h_h4_3_22          'h4_3_22 - Unit in which Tubers were measured'                                    
 w1_h_h4_4_22          'h4_4_22 - Amount of units of Tubers harvested in  last 12 months'                
 w1_h_h4_5_22          'h4_5_22 - Amount of units of Tubers sold in last 12 months'                      
 w1_h_h4_6_22          'h4_6_22 - Total amount of money received from selling Tubers in last 12 months'  
 w1_h_h4_7_22          'h4_7_22 - Amount of units of Tubers given away in last 12 months'                
 w1_h_h4_8_22          'h4_8_22 - No. of units of Tubers retained for own consumption in last 12 months' 
 w1_h_h4_2_23          'h4_2_23 - Onions were grown in the last 12 months'                               
 w1_h_h4_3_23          'h4_3_23 - Unit in which Onions were measured'                                    
 w1_h_h4_4_23          'h4_4_23 - Amount of units of Onions harvested in  last 12 months'                
 w1_h_h4_5_23          'h4_5_23 - Amount of units of Onions sold in last 12 months'                      
 w1_h_h4_6_23          'h4_6_23 - Total amount of money received from selling Onions in last 12 months'  
 w1_h_h4_7_23          'h4_7_23 - Amount of units of Onions given away in last 12 months'                
 w1_h_h4_8_23          'h4_8_23 - No. of units of Onions retained for own consumption in last 12 months' 
 w1_h_h4_2_24          'h4_2_24 - Green beans were grown in the last 12 months'                          
 w1_h_h4_3_24          'h4_3_24 - Unit in which Green beans were measured'                               
 w1_h_h4_4_24          'h4_4_24 - Amount of units of Green beans harvested in  last 12 months'           
 w1_h_h4_5_24          'h4_5_24 - Amount of units of Green beans sold in last 12 months'                 
 w1_h_h4_6_24          'h4_6_24 - Total money received from selling Green beans in last 12 months'       
 w1_h_h4_7_24          'h4_7_24 - Amount of units of Green beans given away in last 12 months'           
 w1_h_h4_8_24          'h4_8_24 - No. units of Green beans retained for own consumption last 12 months'  
 w1_h_h4_2_25          'h4_2_25 - Legumes were grown in the last 12 months'                              
 w1_h_h4_3_25          'h4_3_25 - Unit in which Legumes were measured'                                   
 w1_h_h4_4_25          'h4_4_25 - Amount of units of Legumes harvested in  last 12 months'               
 w1_h_h4_5_25          'h4_5_25 - Amount of units of Legumes sold in last 12 months'                     
 w1_h_h4_6_25          'h4_6_25 - Total amount of money received from selling Legumes in last 12 months' 
 w1_h_h4_7_25          'h4_7_25 - Amount of units of Legumes given away in last 12 months'               
 w1_h_h4_8_25          'h4_8_25 - No. of units of Legumes retained for own consumption in last 12 months'
 w1_h_h4_2_26          'h4_2_26 - Lettuce were grown in the last 12 months'                              
 w1_h_h4_3_26          'h4_3_26 - Unit in which Lettuce were measured'                                   
 w1_h_h4_4_26          'h4_4_26 - Amount of units of Lettuce harvested in  last 12 months'               
 w1_h_h4_5_26          'h4_5_26 - Amount of units of Lettuce sold in last 12 months'                     
 w1_h_h4_6_26          'h4_6_26 - Total amount of money received from selling Lettuce in last 12 months' 
 w1_h_h4_7_26          'h4_7_26 - Amount of units of Lettuce given away in last 12 months'               
 w1_h_h4_8_26          'h4_8_26 - No. of units of Lettuce retained for own consumption in last 12 months'
 w1_h_h4_2_27          'h4_2_27 - Other vegetables were grown in the last 12 months'                     
 w1_h_h4_3_27          'h4_3_27 - Unit in which Other vegetables were measured'                          
 w1_h_h4_4_27          'h4_4_27 - Amount of units of Other vegetables harvested in  last 12 months'      
 w1_h_h4_5_27          'h4_5_27 - Amount of units of Other vegetables sold in last 12 months'            
 w1_h_h4_6_27          'h4_6_27 - Total money received from selling Other vegetables in last 12 months'  
 w1_h_h4_7_27          'h4_7_27 - Amount of units of Other vegetables given away in last 12 months'      
 w1_h_h4_8_27          'h4_8_27 - No. units Other vegetables retained own consumption in last 12 months' 
 w1_h_h4_2_28          'h4_2_28 - Beetroot was grown in the last 12 months'                              
 w1_h_h4_3_28          'h4_3_28 - Beetroot was grown in the last 12 months'                              
 w1_h_h4_4_28          'h4_4_28 - Amount of units of beetroot harvested in  last 12 months'              
 w1_h_h4_5_28          'h4_5_28 - Amount of units of beetroot sold in last 12 months'                    
 w1_h_h4_6_28          'h4_6_28 - Total money received from selling beetroot in last 12 months'          
 w1_h_h4_7_28          'h4_7_28 - Amount of units of beetroot given away in last 12 months'              
 w1_h_h4_8_28          'h4_8_28 - No. units of beetroot retained for own consumption in last 12 months'  
 w1_h_h4_2_29          'h4_2_29 - Green Pepper was grown in the last 12 months'                          
 w1_h_h4_3_29          'h4_3_29 - Unit in which Green Pepper were measured'                              
 w1_h_h4_4_29          'h4_4_29 - Amount of units of Green Pepper harvested in  last 12 months'          
 w1_h_h4_5_29          'h4_5_29 - Amount of units of Green Pepper sold in last 12 months'                
 w1_h_h4_6_29          'H4_6 Greenpepper'                                                                
 w1_h_h4_7_29          'h4_7_29 - Amount of units of Green Pepper given away in last 12 months'          
 w1_h_h4_8_29          'h4_8_29 - No. units green pepper retained for own consumption in last 12 months' 
 w1_h_h5_1             'h5_1 - The household owned livestock/poultry in last 12 months'                  
 w1_h_h5_2_1           'h5_2_1 - Cattle was owned in the last 12 months'                                 
 w1_h_h5_3_1           'h5_3_1 - Number of cattle owned currently'                                       
 w1_h_h5_4_1           'h5_4_1 - Number of cattle sold  in last 12 months'                               
 w1_h_h5_5_1           'h5_5_1 - Total amount of money received from selling cattle'                     
 w1_h_h5_6_1           'h5_6_1 - Number of cattle given away in last 12 months'                          
 w1_h_h5_7_1           'h5_7_1 - No. cattle lost due to theft, illness and other loss in last 12 months' 
 w1_h_h5_8_1           'h5_8_1 - Number of cattle  retained for own consumption in last 12 months'       
 w1_h_h5_2_2           'h5_2_2 - Sheep was owned in the last 12 months'                                  
 w1_h_h5_3_2           'h5_3_2 - Number of Sheep owned currently'                                        
 w1_h_h5_4_2           'h5_4_2 - Number of Sheep sold  in last 12 months'                                
 w1_h_h5_5_2           'h5_5_2 - Total amount of money received from selling Sheep'                      
 w1_h_h5_6_2           'h5_6_2 - Number of Sheep given away in last 12 months'                           
 w1_h_h5_7_2           'h5_7_2 - No. Sheep lost due to theft, illness and other loss in last 12 months'  
 w1_h_h5_8_2           'h5_8_2 - Number of Sheep  retained for own consumption in last 12 months'        
 w1_h_h5_2_3           'h5_2_3 - Goats was owned in the last 12 months'                                  
 w1_h_h5_3_3           'h5_3_3 - Number of Goats owned currently'                                        
 w1_h_h5_4_3           'h5_4_3 - Number of Goats sold  in last 12 months'                                
 w1_h_h5_5_3           'h5_5_3 - Total amount of money received from selling Goats'                      
 w1_h_h5_6_3           'h5_6_3 - Number of Goats given away in last 12 months'                           
 w1_h_h5_7_3           'h5_7_3 - No. Goats lost due to theft, illness and other loss in last 12 months'  
 w1_h_h5_8_3           'h5_8_3 - Number of Goats  retained for own consumption in last 12 months'        
 w1_h_h5_2_4           'h5_2_4 - Pigs was owned in the last 12 months'                                   
 w1_h_h5_3_4           'h5_3_4 - Number of Pigs owned currently'                                         
 w1_h_h5_4_4           'h5_4_4 - Number of Pigs sold  in last 12 months'                                 
 w1_h_h5_5_4           'h5_5_4 - Total amount of money received from selling Pigs'                       
 w1_h_h5_6_4           'h5_6_4 - Number of Pigs given away in last 12 months'                            
 w1_h_h5_7_4           'h5_7_4 - No. of Pigs lost due to theft, illness and other loss in last 12 months'
 w1_h_h5_8_4           'h5_8_4 - Number of Pigs  retained for own consumption in last 12 months'         
 w1_h_h5_2_5           'h5_2_5 - Horses was owned in the last 12 months'                                 
 w1_h_h5_3_5           'h5_3_5 - Number of Horses owned currently'                                       
 w1_h_h5_4_5           'h5_4_5 - Number of Horses sold  in last 12 months'                               
 w1_h_h5_5_5           'h5_5_5 - Total amount of money received from selling Horses'                     
 w1_h_h5_6_5           'h5_6_5 - Number of Horses given away in last 12 months'                          
 w1_h_h5_7_5           'h5_7_5 - No. Horses lost due to theft, illness and other loss in last 12 months' 
 w1_h_h5_8_5           'h5_8_5 - Number of Horses  retained for own consumption in last 12 months'       
 w1_h_h5_2_6           'h5_2_6 - Donkeys and Mules was owned in the last 12 months'                      
 w1_h_h5_3_6           'h5_3_6 - Number of Donkeys and Mules owned currently'                            
 w1_h_h5_4_6           'h5_4_6 - Number of Donkeys and Mules sold  in last 12 months'                    
 w1_h_h5_5_6           'h5_5_6 - Total amount of money received from selling Donkeys and Mules'          
 w1_h_h5_6_6           'h5_6_6 - Number of Donkeys and Mules given away in last 12 months'               
 w1_h_h5_7_6           'h5_7_6 - No. Donkeys/Mules lost to theft, illness & other loss in last 12 months'
 w1_h_h5_8_6           'h5_8_6 - No. Donkeys and Mules  retained for own consumption in last 12 months'  
 w1_h_h5_2_7           'h5_2_7 - Chickens was owned in the last 12 months'                               
 w1_h_h5_3_7           'h5_3_7 - Number of Chickens owned currently'                                     
 w1_h_h5_4_7           'h5_4_7 - Number of Chickens sold  in last 12 months'                             
 w1_h_h5_5_7           'h5_5_7 - Total amount of money received from selling Chickens'                   
 w1_h_h5_6_7           'h5_6_7 - Number of Chickens given away in last 12 months'                        
 w1_h_h5_7_7           'h5_7_7 - No. Chickens lost due to theft, illness & other loss in last 12 months' 
 w1_h_h5_8_7           'h5_8_7 - Number of Chickens  retained for own consumption in last 12 months'     
 w1_h_h5_2_8           'h5_2_8 - Ducks and Geese was owned in the last 12 months'                        
 w1_h_h5_3_8           'h5_3_8 - Number of Ducks and Geese owned currently'                              
 w1_h_h5_4_8           'h5_4_8 - Number of Ducks and Geese sold  in last 12 months'                      
 w1_h_h5_5_8           'h5_5_8 - Total amount of money received from selling Ducks and Geese'            
 w1_h_h5_6_8           'h5_6_8 - Number of Ducks and Geese given away in last 12 months'                 
 w1_h_h5_7_8           'h5_7_8 - No. Ducks/Geese lost to theft, illness and other loss in last 12 months'
 w1_h_h5_8_8           'h5_8_8 - No. of Ducks and Geese  retained for own consumption in last 12 months' 
 w1_h_h5_2_9           'h5_2_9 - Ostriches was owned in the last 12 months'                              
 w1_h_h5_3_9           'h5_3_9 - Number of Ostriches owned currently'                                    
 w1_h_h5_4_9           'h5_4_9 - Number of Ostriches sold  in last 12 months'                            
 w1_h_h5_5_9           'h5_5_9 - Total amount of money received from selling Ostriches'                  
 w1_h_h5_6_9           'h5_6_9 - Number of Ostriches given away in last 12 months'                       
 w1_h_h5_7_9           'h5_7_9 - No. Ostriches lost to theft, illness and other loss in last 12 months'  
 w1_h_h5_8_9           'h5_8_9 - Number of Ostriches  retained for own consumption in last 12 months'    
 w1_h_h5_2_rabbit      'h5_2_10 - Rabbits was owned in the last 12 months'                               
 w1_h_h5_3_rabbit      'h5_3_10 - Number of Rabbits owned currently'                                     
 w1_h_h5_4_rabbit      'h5_4_10 - Number of Rabbits sold  in last 12 months'                             
 w1_h_h5_5_rabbit      'h5_5_10 - Total amount of money received from selling Rabbits'                   
 w1_h_h5_6_rabbit      'h5_6_10 - Number of Rabbits given away in last 12 months'                        
 w1_h_h5_7_rabbit      'h5_7_10 - No. Rabbits lost to theft, illness and other loss in last 12 months'   
 w1_h_h5_8_rabbit      'h5_8_10 - Number of Rabbits  retained for own consumption in last 12 months'     
 w1_h_h5_2_turkey      'h5_2_11 - Turkeys was owned in the last 12 months'                               
 w1_h_h5_3_turkey      'h5_3_11 - Number of Turkeys owned currently'                                     
 w1_h_h5_4_turkey      'h5_4_11 - Number of Turkeys sold  in last 12 months'                             
 w1_h_h5_5_turkey      'h5_5_11 - Total amount of money received from selling Turkeys'                   
 w1_h_h5_6_turkey      'h5_6_11 - Number of Turkeys given away in last 12 months'                        
 w1_h_h5_7_turkey      'h5_7_11 - No. Turkeys lost to theft, illness and other loss in last 12 months'   
 w1_h_h5_8_turkey      'h5_8_11 - Number of Turkeys  retained for own consumption in last 12 months'     
 w1_h_h6_1_1           'h6_1_1 - Unit code for chicken eggs'                                             
 w1_h_h6_1_2           'h6_1_2 - Number of units of chicken eggs produced per month'                     
 w1_h_h6_1_3           'h6_1_3 - Number of units of chicken eggs sold per month'                         
 w1_h_h6_1_4           'h6_1_4 - Amount of money received from selling eggs'                             
 w1_h_h6_1_5           'h6_1_5 - Number of units of chicken eggs given away per month'                   
 w1_h_h6_1_6           'h6_1_6 - Number of units of chicken eggs retained for own consumption per month' 
 w1_h_h6_2_1_1         'h6_2_1_1 - Number of months receiving Milk in a year'                            
 w1_h_h6_2_2_1         'h6_2_2_1 - Unit code of Milk produced'                                           
 w1_h_huno_1           'h6_2_2_1_o. Other units codes'                                                   
 w1_h_h6_2_3_1         'h6_2_3_1 - Number of units of milk produced per month'                           
 w1_h_h6_2_4_1         'h6_2_4_1 - Amount of Milk sold per month'                                        
 w1_h_h6_2_5_1         'h6_2_5_1 - Amount of money received from selling milk'                           
 w1_h_h6_2_6_1         'h6_2_6_1 - Amount of Milk given away per month'                                  
 w1_h_h6_2_7_1         'h6_2_7_1 - Amount of milk retained for own consumption'                          
 w1_h_h6_2_1_2         'h6_2_1_2 - Number of months receiving Butter in a year'                          
 w1_h_h6_2_2_2         'h6_2_2_2 - Unit code of Butter produced'                                         
 w1_h_huno_2           'h6_2_2_2_o. Other units codes'                                                   
 w1_h_h6_2_3_2         'h6_2_3_2 - Number f units of butter produced per month'                          
 w1_h_h6_2_4_2         'h6_2_4_2 - Amount of Butter sold per month'                                      
 w1_h_h6_2_5_2         'h6_2_5_2 - Amount of money received from selling Butter'                         
 w1_h_h6_2_6_2         'h6_2_6_2 - Amount of Butter given away per month'                                
 w1_h_h6_2_7_2         'h6_2_7_2 - Amount of Butter retained for own consumption'                        
 w1_h_h6_2_1_3         'h6_2_1_3 - Number of months receiving Other dairy in a year'                     
 w1_h_h6_2_2_3         'h6_2_2_3 - Unit code of Other dairy produced'                                    
 w1_h_huno_3           'h6_2_2_3_o. Other units codes'                                                   
 w1_h_h6_2_3_3         'h6_2_3_3 - Amount of units of  Other dairy  produced per month'                  
 w1_h_h6_2_4_3         'h6_2_4_3 - Amount of Other dairy sold per month'                                 
 w1_h_h6_2_5_3         'h6_2_5_3 - Amount of money received from selling Other dairy'                    
 w1_h_h6_2_6_3         'h6_2_6_3 - Amount of Other dairy given away per month'                           
 w1_h_h6_2_7_3         'h6_2_7_3 - Amount of Other dairy retained for own consumption'                   
 w1_h_h6_3_1_1         'h6_3_1_1 - Number of months receiving Wool in a year'                            
 w1_h_h6_3_2_1         'h6_3_2_1 - Unit code of  wool production'                                        
 w1_h_h6_3o_1          'h6.3o. Other specified Wool'                                                     
 w1_h_h6_3_3_1         'h6_3_3_1 - Amount of Wool  produced per month'                                   
 w1_h_h6_3_4_1         'h6_3_4_1 - Amount of Wool sold per month'                                        
 w1_h_h6_3_5_1         'h6_3_5_1 - Amount of money received from selling Wool'                           
 w1_h_h6_3_6_1         'h6_3_6_1 - Amount of Wool given away per month'                                  
 w1_h_h6_3_7_1         'h6_3_7_1 - Amount of Wool retained for own consumption'                          
 w1_h_h6_3_1_2         'h6_3_1_2 - Number of months receiving Mohair in a year'                          
 w1_h_h6_3_2_2         'h6_3_2_2 - Unit code of  mohair  production'                                     
 w1_h_h6_3o_2          'h6.3o. Other specified Mohair'                                                   
 w1_h_h6_3_3_2         'h6_3_3_2 - Amount of Mohair  produced per month'                                 
 w1_h_h6_3_4_2         'h6_3_4_2 - Amount of Mohair sold per month'                                      
 w1_h_h6_3_5_2         'h6_3_5_2 - Amount of money received from selling Mohair'                         
 w1_h_h6_3_6_2         'h6_3_6_2 - Amount of Mohair given away per month'                                
 w1_h_h6_3_7_2         'h6_3_7_2 - Amount of Mohair retained for own consumption'                        
 w1_h_h7_1_1           'h7_1_1 - In the last 12 months the household bought or acquired hired labour'    
 w1_h_h7_2_1           'h7_2_1 - Amount spent on buying or acquiring labour'                             
 w1_h_h7_1_2           'h7_1_2 - In the last 12 months the household bought or acquired fertilizer'      
 w1_h_h7_2_2           'h7_2_2 - Amount spent on buying or acquiring fertilizer'                         
 w1_h_h7_1_3           'h7_1_3 - In the last 12 months the household bought or acquired manure'          
 w1_h_h7_2_3           'h7_2_3 - Amount spent on buying or acquiring manure'                             
 w1_h_h7_1_4           'h7_1_4 - In the last 12 months the household bought or acquired agro-chemical'   
 w1_h_h7_2_4           'h7_2_4 - Amount spent on buying or acquiring agro-chemical'                      
 w1_h_h7_1_5           'h7_1_5 - In the last 12 months household buy or acquired ploughing equipment '   
 w1_h_h7_2_5           'h7_2_5 - Amount spent on buying or acquiring ploughing services'                 
 w1_h_h7_1_6           'h7_1_6 - In the last 12 months household bought or acquired seeds and seedlings' 
 w1_h_h7_2_6           'h7_2_6 - Amount spent on buying or acquiring seeds and seedlings'                
 w1_h_h7_1_7           'h7_1_7 - In the last 12 months household bought or acquired dipping services'    
 w1_h_h7_2_7           'h7_2_7 - Amount spent on buying or acquiring dipping services'                   
 w1_h_h7_1_8           'h7_1_8 - In the last 12 months household bought or acquired vet services'        
 w1_h_h7_2_8           'h7_2_8 - Amount spent on buying or acquiring vet services and products'          
 w1_h_h7_1_9           'h7_1_9 - In the last 12 months the household bought or acquired animal feed'     
 w1_h_h7_2_9           'h7_2_9 - Amount spent on buying or acquiring animal feed'                        
 w1_h_h7_1_10          'h7_1_10 - In the last 12 months made investments in agricultural activities'     
 w1_h_h7_2_10          'h7_2_10 - Amount spent on investments in agricultural activities'                
 w1_h_h7_1_11          'h7_1_11 - In the last 12 months repair & maintained property, plant, equipment ' 
 w1_h_h7_2_11          'h7_2_11 - Amount spent on repairs and maintaining property, plant, equipment '   
 merge1                 (none)                                                                           
 w1_hhprov             'Province of Psu'                                                                 
 w1_hhgeo              'Geo-type'                                                                        
 w1_hhdc               'District Council'                                                                
 w1_hhcluster          'Cluster Number'                                                                  
 w1_wgt                'Post stratified weight'                                                          
 w1_dwgt               'Design weight'                                                                   
 w1_wgt_p1             'Post stratified weight discarding replacements'                                  
 w1_dwgt_p1            'Design weight discarding replacements'                                           
 w1_dtwgt_p1           'Design weight discarding replacements, trimmed '                                 
 w1_dtwgt              'Design weight, trimmed'                                                          
 w1_hhsizer            'Number of household residents'                                                   
 w1_hhquint            'Per capita household income quintiles'                                           
 w1_hhq_inc            'Household income as per household questionnaire '                                
 w1_hhq_incb           'Household income as per household questionnaire incl brackets and imputations'   
 w1_hhq_incb_flg       'The household income as per household questionnaire data for this individual is:'
 w1_hhincome           'Household monthly income - full imputations'                                     
 w1_hhincome_flg       'The source of the monthly income data for this individual is:'                   
 w1_hhwage             'Household monthly income from labour market'                                     
 w1_hhgovt             'Household monthly income from government grants'                                 
 w1_hhother            'Household monthly income from other government sources'                          
 w1_hhinvest           'Household monthly income from investments'                                       
 w1_hhcapital          'Household monthly income of a capital nature'                                    
 w1_hhremitt           'Household monthly income from remittances'                                       
 w1_hhimprent_inc      'Household monthly implied rental income'                                         
 w1_hhimprent_flg      'The monthly household implied rental income data is from:'                       
 w1_hhagric            'Household average monthly income from subsistence agriculture'                   
